ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
HTI,Grande-Anse/Nippes,1069881,Median age at first sexual intercourse [Women]: 30-34,17.6,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M30,51703040,I,412009,1412009,Region,Grande-Anse/Nippes,0,,0,1,SXAAFSWM30,HTDHS2000412009,2000,DHS,,,,,1
HTI,North-West,1078306,Median age at first sexual intercourse [Women]: 30-34,18.1,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M30,51703040,I,412012,1412012,Region,North-West,0,,0,1,SXAAFSWM30,HTDHS2000412012,2000,DHS,,,,,1
HTI,Metropolitan area,1078258,Median age at first sexual intercourse [Women]: 35-39,18.2,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M35,51703050,I,412001,1412001,Region,Metropolitan area,0,,0,1,SXAAFSWM35,HTDHS2000412001,2000,DHS,,,,,1
HTI,Rest of West,1086252,Median age at first sexual intercourse [Women]: 35-39,17.6,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M35,51703050,I,412002,1412002,Region,Rest of West,0,,0,1,SXAAFSWM35,HTDHS2000412002,2000,DHS,,,,,1
HTI,South-East,1078285,Median age at first sexual intercourse [Women]: 35-39,17.6,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M35,51703050,I,412003,1412003,Region,South-East,0,,0,1,SXAAFSWM35,HTDHS2000412003,2000,DHS,,,,,1
HTI,North,1069873,Median age at first sexual intercourse [Women]: 35-39,18.5,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M35,51703050,I,412004,1412004,Region,North,0,,0,1,SXAAFSWM35,HTDHS2000412004,2000,DHS,,,,,1
HTI,North-East,1086190,Median age at first sexual intercourse [Women]: 35-39,18.9,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M35,51703050,I,412005,1412005,Region,North-East,0,,0,1,SXAAFSWM35,HTDHS2000412005,2000,DHS,,,,,1
HTI,Artibonite,7140134,Median age at first sexual intercourse [Women]: 35-39,16.8,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M35,51703050,I,412006,1412006,Region,Artibonite,0,,0,1,SXAAFSWM35,HTDHS2000412006,2000,DHS,,,,,1
HTI,Centre,1086245,Median age at first sexual intercourse [Women]: 35-39,18.5,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M35,51703050,I,412007,1412007,Region,Centre,0,,0,1,SXAAFSWM35,HTDHS2000412007,2000,DHS,,,,,1
HTI,South,1086239,Median age at first sexual intercourse [Women]: 35-39,17.6,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M35,51703050,I,412008,1412008,Region,South,0,,0,1,SXAAFSWM35,HTDHS2000412008,2000,DHS,,,,,1
HTI,Grande-Anse/Nippes,1069882,Median age at first sexual intercourse [Women]: 35-39,17.5,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M35,51703050,I,412009,1412009,Region,Grande-Anse/Nippes,0,,0,1,SXAAFSWM35,HTDHS2000412009,2000,DHS,,,,,1
HTI,North-West,1078307,Median age at first sexual intercourse [Women]: 35-39,18.1,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M35,51703050,I,412012,1412012,Region,North-West,0,,0,1,SXAAFSWM35,HTDHS2000412012,2000,DHS,,,,,1
HTI,Metropolitan area,1078259,Median age at first sexual intercourse [Women]: 40-44,17.8,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M40,51703060,I,412001,1412001,Region,Metropolitan area,0,,0,1,SXAAFSWM40,HTDHS2000412001,2000,DHS,,,,,1
HTI,Rest of West,1086253,Median age at first sexual intercourse [Women]: 40-44,18.3,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M40,51703060,I,412002,1412002,Region,Rest of West,0,,0,1,SXAAFSWM40,HTDHS2000412002,2000,DHS,,,,,1
HTI,South-East,1078289,Median age at first sexual intercourse [Women]: 40-44,17.7,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M40,51703060,I,412003,1412003,Region,South-East,0,,0,1,SXAAFSWM40,HTDHS2000412003,2000,DHS,,,,,1
HTI,North,1069949,Median age at first sexual intercourse [Women]: 40-44,17.6,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M40,51703060,I,412004,1412004,Region,North,0,,0,1,SXAAFSWM40,HTDHS2000412004,2000,DHS,,,,,1
HTI,North-East,1086191,Median age at first sexual intercourse [Women]: 40-44,19.3,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M40,51703060,I,412005,1412005,Region,North-East,0,,0,1,SXAAFSWM40,HTDHS2000412005,2000,DHS,,,,,1
HTI,Artibonite,7140135,Median age at first sexual intercourse [Women]: 40-44,18.2,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M40,51703060,I,412006,1412006,Region,Artibonite,0,,0,1,SXAAFSWM40,HTDHS2000412006,2000,DHS,,,,,1
HTI,Centre,1086246,Median age at first sexual intercourse [Women]: 40-44,18.6,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M40,51703060,I,412007,1412007,Region,Centre,0,,0,1,SXAAFSWM40,HTDHS2000412007,2000,DHS,,,,,1
HTI,South,1086240,Median age at first sexual intercourse [Women]: 40-44,17.5,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M40,51703060,I,412008,1412008,Region,South,0,,0,1,SXAAFSWM40,HTDHS2000412008,2000,DHS,,,,,1
HTI,Grande-Anse/Nippes,1069883,Median age at first sexual intercourse [Women]: 40-44,18.1,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M40,51703060,I,412009,1412009,Region,Grande-Anse/Nippes,0,,0,1,SXAAFSWM40,HTDHS2000412009,2000,DHS,,,,,1
HTI,North-West,1078308,Median age at first sexual intercourse [Women]: 40-44,19.5,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M40,51703060,I,412012,1412012,Region,North-West,0,,0,1,SXAAFSWM40,HTDHS2000412012,2000,DHS,,,,,1
HTI,Metropolitan area,1078253,Median age at first sexual intercourse [Women]: 45-49,19.4,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M45,51703070,I,412001,1412001,Region,Metropolitan area,0,,0,1,SXAAFSWM45,HTDHS2000412001,2000,DHS,,,,,1
HTI,Rest of West,1086227,Median age at first sexual intercourse [Women]: 45-49,19.3,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M45,51703070,I,412002,1412002,Region,Rest of West,0,,0,1,SXAAFSWM45,HTDHS2000412002,2000,DHS,,,,,1
HTI,South-East,1078275,Median age at first sexual intercourse [Women]: 45-49,17.2,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M45,51703070,I,412003,1412003,Region,South-East,0,,0,1,SXAAFSWM45,HTDHS2000412003,2000,DHS,,,,,1
HTI,North,1069859,Median age at first sexual intercourse [Women]: 45-49,17.3,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M45,51703070,I,412004,1412004,Region,North,0,,0,1,SXAAFSWM45,HTDHS2000412004,2000,DHS,,,,,1
HTI,North-East,1086192,Median age at first sexual intercourse [Women]: 45-49,19,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M45,51703070,I,412005,1412005,Region,North-East,0,,0,1,SXAAFSWM45,HTDHS2000412005,2000,DHS,,,,,1
HTI,Artibonite,7140128,Median age at first sexual intercourse [Women]: 45-49,19,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M45,51703070,I,412006,1412006,Region,Artibonite,0,,0,1,SXAAFSWM45,HTDHS2000412006,2000,DHS,,,,,1
HTI,Centre,1086205,Median age at first sexual intercourse [Women]: 45-49,18.1,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M45,51703070,I,412007,1412007,Region,Centre,0,,0,1,SXAAFSWM45,HTDHS2000412007,2000,DHS,,,,,1
HTI,South,1086194,Median age at first sexual intercourse [Women]: 45-49,17.9,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M45,51703070,I,412008,1412008,Region,South,0,,0,1,SXAAFSWM45,HTDHS2000412008,2000,DHS,,,,,1
HTI,Grande-Anse/Nippes,1069876,Median age at first sexual intercourse [Women]: 45-49,18,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M45,51703070,I,412009,1412009,Region,Grande-Anse/Nippes,0,,0,1,SXAAFSWM45,HTDHS2000412009,2000,DHS,,,,,1
HTI,North-West,1078274,Median age at first sexual intercourse [Women]: 45-49,19.3,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M45,51703070,I,412012,1412012,Region,North-West,0,,0,1,SXAAFSWM45,HTDHS2000412012,2000,DHS,,,,,1
HTI,Metropolitan area,1078254,Median age at first sexual intercourse [Women]: 20-49,18.6,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2A,51703080,I,412001,1412001,Region,Metropolitan area,0,,0,1,SXAAFSWM2A,HTDHS2000412001,2000,DHS,,,,,1
HTI,Rest of West,1086229,Median age at first sexual intercourse [Women]: 20-49,18.2,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2A,51703080,I,412002,1412002,Region,Rest of West,0,,0,1,SXAAFSWM2A,HTDHS2000412002,2000,DHS,,,,,1
HTI,South-East,1078277,Median age at first sexual intercourse [Women]: 20-49,17.6,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2A,51703080,I,412003,1412003,Region,South-East,0,,0,1,SXAAFSWM2A,HTDHS2000412003,2000,DHS,,,,,1
HTI,North,1069861,Median age at first sexual intercourse [Women]: 20-49,17.8,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2A,51703080,I,412004,1412004,Region,North,0,,0,1,SXAAFSWM2A,HTDHS2000412004,2000,DHS,,,,,1
HTI,North-East,1086196,Median age at first sexual intercourse [Women]: 20-49,18.9,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2A,51703080,I,412005,1412005,Region,North-East,0,,0,1,SXAAFSWM2A,HTDHS2000412005,2000,DHS,,,,,1
HTI,Artibonite,7140130,Median age at first sexual intercourse [Women]: 20-49,17.9,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2A,51703080,I,412006,1412006,Region,Artibonite,0,,0,1,SXAAFSWM2A,HTDHS2000412006,2000,DHS,,,,,1
HTI,Centre,1086206,Median age at first sexual intercourse [Women]: 20-49,17.7,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2A,51703080,I,412007,1412007,Region,Centre,0,,0,1,SXAAFSWM2A,HTDHS2000412007,2000,DHS,,,,,1
HTI,South,1086197,Median age at first sexual intercourse [Women]: 20-49,17.7,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2A,51703080,I,412008,1412008,Region,South,0,,0,1,SXAAFSWM2A,HTDHS2000412008,2000,DHS,,,,,1
HTI,Grande-Anse/Nippes,1069878,Median age at first sexual intercourse [Women]: 20-49,17.7,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2A,51703080,I,412009,1412009,Region,Grande-Anse/Nippes,0,,0,1,SXAAFSWM2A,HTDHS2000412009,2000,DHS,,,,,1
HTI,North-West,1078322,Median age at first sexual intercourse [Women]: 20-49,18.4,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2A,51703080,I,412012,1412012,Region,North-West,0,,0,1,SXAAFSWM2A,HTDHS2000412012,2000,DHS,,,,,1
HTI,Metropolitan area,1078260,Median age at first sexual intercourse [Women]: 25-49,18.6,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2B,51703090,I,412001,1412001,Region,Metropolitan area,0,,0,1,SXAAFSWM2B,HTDHS2000412001,2000,DHS,,,,,1
HTI,Rest of West,1086228,Median age at first sexual intercourse [Women]: 25-49,18.1,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2B,51703090,I,412002,1412002,Region,Rest of West,0,,0,1,SXAAFSWM2B,HTDHS2000412002,2000,DHS,,,,,1
HTI,South-East,1078276,Median age at first sexual intercourse [Women]: 25-49,17.7,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2B,51703090,I,412003,1412003,Region,South-East,0,,0,1,SXAAFSWM2B,HTDHS2000412003,2000,DHS,,,,,1
HTI,North,1069860,Median age at first sexual intercourse [Women]: 25-49,17.8,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2B,51703090,I,412004,1412004,Region,North,0,,0,1,SXAAFSWM2B,HTDHS2000412004,2000,DHS,,,,,1
HTI,North-East,1086193,Median age at first sexual intercourse [Women]: 25-49,18.8,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2B,51703090,I,412005,1412005,Region,North-East,0,,0,1,SXAAFSWM2B,HTDHS2000412005,2000,DHS,,,,,1
HTI,Artibonite,7140129,Median age at first sexual intercourse [Women]: 25-49,17.8,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2B,51703090,I,412006,1412006,Region,Artibonite,0,,0,1,SXAAFSWM2B,HTDHS2000412006,2000,DHS,,,,,1
HTI,Centre,1086207,Median age at first sexual intercourse [Women]: 25-49,18.1,1,HT,Haiti,2000,HT2000DHS,SX_AAFS_W_M2B,51703090,I,412007,1412007,Region,Centre,0,,0,1,SXAAFSWM2B,HTDHS2000412007,2000,DHS,,,,,1
